english	sign
he are on the wrong train	he train wrong 
the water is drinkable not	water no drink
she tells the truth because it is the easiest to remember	she tell correct because easy know
he turned 25 on this birthday	he birthday 2 5
pinkal likes going to the barber	p i n k a l like go barber
doing nothing she is bored	she bored doing nothing
her pride was hurt by what i said	me say pain her pride
do you want coffee	you want coffee
good night	good night
speaking english isn't easy	english say no easy
help	help
saariyah passed away in 1998	s a a r i y a h died 1 9 9 8
shilpa just came home	s h i l p a must come home
such a thing occurs frequently	thing occurs everyday
climbing up a tree was the boy	boy climb up tree
she will come back in three hours	she future return hour 3
a teacher saw her talking in class	teacher look talk teacher
it is a sheer waste of time	this big waste time
the flowers have withered all	she bed ill
her house was lit on fire by her	she lit own house
i did it the way she told me to	she me work she say
i was born in janjgir in 1945	me born place j a n j g i r 1 9 4 5
on friday he went to chennai	he go c h e n n a i friday
it seems that she is honest	she recognize she truth
afghan persian is spoken in afghanistan	a f g h a n blank p e r s i a n say a f g h a n i s t a n
air	air
a child they just said	must child they say
already she knew the story	she know story past
what is your job	you work what
i want tea	i want tea
use the trash don't throw garbage 	garbage no use dustbin
smoking she should stop	me her close smoking
they wanted those shirts washed	they shirt like wash_clothes
you were born in haldwani	you born place h a l d w a n i
i was sorry to hear this	me know sad
feed everyday the dog please	please feed dog everyday
he will next year change his school	he change school develop year
tom and john were on either side of her	she sit between t o m and j o h n
my grandmother passed away in 1978	me grandmother died 1 9 7 8
a musician she is not being	she no be musician
have you ever written a book	you ever write book
september	s blank s 
do you know this book	you know this book
all people know this book	everyone know book
we shall try to persuade his father to send him with us	we try persuade father us 
she was born in december	she born d cold
you want coffee	you want tea or coffee
his grandmother passed away in 2009	his grandmother died 2 0 0 9
they went out of town for work	they town out work
all felt sorry for praket	people know sorry p r a k e t
have you ever gone to africa	you ever a f r i c a
it is useless arguing with her	her talk no work
do she like flowers	she like flower
1969	1 9 6 9
she is used to working hard	she difficult work
my sister died in 2013	me sister died 2 0 1 3
she worked hard my whole life and have never taken charity from anyone	she work difficult she life she no take anyone take
take off your socks please	please socks take_off
the ship set sail for kerala	ship sail k e r a l a
get out of my sight	get_out
sit	sit
she was born in november	she born n cracker
he turned it into a routine	he change that schedule
546	5 4 6
she anxious result	she correct anxious
6 people are there in her family	her family 6 people
fighting doesn't settle anything	fight no settle
yesterday how was weather	past how weather
i do not like seeing her	me no look her
do you want to have food	you want food
you have a very short temper	you big temper
her grandfather died in 1970	her grandfather died 1 9 7 0
he is anxious about the result	he correct anxious
she was born on 3 june 2014	she born 3 j rain 2 0 1 4
3919	3 9 1 9
he will show you the picture and explain it	he picture look explain
she turned 40 on this birthday	she birthday 4 0
a clerk i am	me clerk
you were born in december	you born d cold
she shouldn't worry	worry no
i must have left it on the bus	me must keep on drive
i wanted to do it for the last 26 years	me like work past 2 6 year
22 people are walking	2 2 people walk
do you have any tickets left	you keep ticket
on friday they went to chennai	they go c h e n n a i friday
he was born in indraprast	he born place i n d r a p r a s t
she looks gorgeous	she beauty
i was born in may	me born m a y
my grandmother speaks slowly	me grandmother talk slow
i don't want to drink	me drink want no
tomorrow he come to see you	he come you look tomorrow
this is mine and that is yours	this me that you
john wants to go to the bathroom	j o h n bathroom go want
yesterday why didn't she come	why she past come no
february, march,	f m march
8531	8 5 3 1
5900	5 9 0 0
she missed having a true friend	she sad miss true_friend
how many years she live abroad	she how time aeroplane stay
the story is sensitive famous and important	story sensitive famous important 
they wanted to do it for the past 11 years	they like work past 1 1 year
someone is meeting he here	he someone meet here
turn on the light will you	you turn on light
he was born in saranga in 1991	he born place s a r a n g a 1 9 9 1
chess is my favourite sport	c h e s s me like game
nice meeting you	good meet you
she went to rajasthan on sunday	she go r a j a s t h a n sunday
she is sorry to know this	she know sad
cultivation not possible on this piece of land	piece this cultivation no
too difficult it was for me	too difficult me
january, february, march,	j eid f m march
she was born in bhoj in 1993	she born place b h o j 1 9 9 3
i was born in may	me born m a y
sad to hear this	me know sad
someone on the door knocked	someone knock door
you are in your senses or not	you what mind
he did not see him since then	he no look her time then
nice to meet you	good meet you
he was disappointed to hear this	he know sad
one kilometer across is the river	river 1 k m across
47 people are walking	4 7 people walk
in our favour the war is going	war our favour
they avoided being captured	catch no
today date	today date what
a man got suspicious	man suspicious 
he will be happy to help her	he her help happy
they were sad to hear this	they know sad
be careful	careful
i turn four years old today	today me 4 grow
would you like flowers	you like flower
aeroplane	aeroplane
it looks fun to me	that look me like
turn off the light please	turn off light please
i was born on 24 april 1966	me born 2 4 a blank a 1 9 6 6
there are 955 men walking around	9 5 5 woman walk there
753	7 5 3
they went to rajasthan on monday	they go r a j a s t h a n monday
you were born in october	you born october
is she in her senses	she what mind
yellow	yellow
he asked her to write an essay as punishment	he say punishment write essay
are you in your senses	you what mind
he motioned for her to sit down	he say her sit
she was born in sakri in 2005	she born place s a k r i 2 0 0 5
give him a cup of tea please	please take cup tea
late	late
i was born in maharaj	me born place m a h a r a j
i have been wanting to do it for the last 30 years	me like work past 3 0 year
she does not want to eat	she eat want no
can you tell him where is the toilet	what you tell bathroom where
everybody it is same	this same everyone
when did the accident happen	accident when happen
it seems fun to me	that look him like
i want someone who tells the truth because it is the easiest to remember to be the leader	me want leader say truth because easy know
58 people are walking	5 8 people walk
she has money	she money have
every morning she takes their dog on walk	she walk their dog every morning
take care	take_care
she kept her diary there	she d i a r y left
641	6 4 1
she is thinking	she thinking
mercy on whomever we please	mercy like keep
when he was 23 years old he died	he 2 3 died
he will next year change his school	he change school develop year
the students respect her	student look her
there was a fire nearby her house	her house near fire
he will come back in three hours	he future return hour 3
69 people are walking	6 9 people walk
47 people are walking	4 7 people walk
he worried for result	he correct anxious
how this poem she understand	she how interpret this poem
yesterday she met your father	she meet you father past
she studied in a school	she go school 
we got bored from her long speech	she long speech bored us
he will be happy to help her	he her help happy
his father died in 1994	his father died 1 9 9 4
he read her diary 	he read d i a r y
there her mother died	mother died
he was born in sikka in 2003	he born place s i k k a 2 0 0 3
three hours she will return	she future return hour 3
your safety worries me	me you keep anxious
my father passed away in 2001	me father died 2 0 0 1
there are 832 men walking on the road	8 3 2 woman walk there
the teacher couldn't understand the mistake she had made	teacher mistake understand no
her absence was because of illness	she ill absent
doing nothing she is bored	she bored doing nothing
his long speech was boring us all	he long speech bored us
how do she interpret this poem	she how interpret this poem
they took them away from the city	taken far city
i've never seen her before	me no seen her past
they could not take deep breaths	they no deep_breath
bangla is spoken in bangladesh	b a n g l a say b a n g l a d e s h
he turned 33 on this birthday	he birthday 3 3
we suffered in pain	suffered pain
he is not being a dancer	he no be dancer
school next year he will change	he change school develop year
he was born in kanpur	he born place k a n p u r
it was a pitch dark and extremely cold night	dark and big cold night
she cooked us a wonderful meal	she cook me good meal
mercy on whomever we please	mercy like keep
mother went to office	mother go office
there is no use fighting with him	her talk no work
36	3 6
everyone felt sorry for ashwin	people know sorry a s h w i n
i was born in kakinada	me born place k a k i n a d a
she's sorry to know this	she know sad
o	o
i will be pleased to help him	me him help happy
she was born in december	she born d cold
41 people are walking	4 1 people walk
where the bathroom	bathroom where
it is an answer to kiran's letter	answer k i r a n letter
for everyone it is same	this same everyone
later we meet	we later me meet can
she has a headache	she headache
96 people are walking	9 6 people walk
three hours she will return	she future return hour 3
pralay died in 2012	p r a l a y died 2 0 1 2
he goes to office	he office go
they will come back in five hours	they future return hour 5
here very little rain	here hardly rain
today date	today date what
there are 339 men walking in the street	3 3 9 woman walk there
could you speak more slowly	you slow say
he wants coffee	he want coffee
her mother's death was there	mother died
i was born in may	me born m a y
for 2 years she taught	she teacher 2 year
how do i get to the police station	police station where
she has been wanting to do it for the last 23 months	she like work past 2 3 month
you are a boy 	you boy
his long speech was boring us all	he long speech bored us
you were born in unnao	you born place u n n a o
230 people are walking	2 3 0 people walk
solve	solve
all felt sorry for him	people know sorry him
bookcase had hidden rooms behind it	bookcase behind hidden room
grown widely in india is tea	tea widely grow i n d i a
it was easy for him to do so	that he easy work
solve	solve
arabic is spoken in oman	a r a b i c say o m a n 
in three hours he return	he future return hour 3
94 people are walking	9 4 people walk
tom likes going to the barber	t o m like go barber
i walked with him	me accompany roam
670	6 7 0
smoking you should stop	me you close smoking
she could not breathe deep easily	she no deep_breath
better than ours is your team	you team our good better
6024	6 0 2 4
don't book tickets	ticket bookv no
do you want to drink coffee or tea	you want tea or coffee
here very little rain	here hardly rain
she has tickets	she keep ticket
you were born in july	you born j y
i was born in kadapa	me born place k a d a p a
he is going to meet him tomorrow	he her meet tomorrow
hospital	hospital
how long they in foreign	they how time aeroplane stay
he was born in karad	he born place k a r a d
you want to drink something	you drink something want
she works	you office go
you have cash	you money have
why didn't he come yesterday	why he past come no
easy to solve is this problem	this problem easy solve
at home make yourself please	please made you home
they have been wanting to do it for the last 21 years	they like work past 2 1 year
59 people are walking	5 9 people walk
these shoes are too big for me	these shoes big me
361	3 6 1
they had to live in the dark to not get captured	light no stay catch no
you on the wrong train	you train wrong
sailing for kerala the ship set	ship sail k e r a l a
accuse	accuse
why yesterday she didn't come	why she past come no
there were hidden rooms behind the bookcase	bookcase behind hidden room
you should have listened to me	you listen me
he was born in meerut	he born place m e e r u t
use the dustbin do not throw garbage 	garbage no use dustbin
his mother died in 2012	his mother died 2 0 1 2
they wanted those shirts washed	they shirt like wash_clothes
food	food
how much money	money what
family was muslim	family muslim
she turned 30 on this birthday	she birthday 3 0
april, may,	a blank a m a y
they was absent due to illness	they ill absent
in three hours he return	he future return hour 3
he was born in karnal	he born place k a r n a l
you look nice	you beauty
148	1 4 8
she was born in bhopal	she born place b h o p a l
she was disappointed to hear this	she know sad
they feel sad to hear this	they know sad
surviving the world war her mother came out	war world after mother survived
would you like to go abroad	you like go aeroplane
good evening	good evening
how are you concerned with their affair	you me talk how concern
one language is never enough	1 language no keep
he was born in modasa in 1988	he born place m o d a s a 1 9 8 8
he wants tea 	he want tea
the flowers have all withered	she bed ill
she was born in roorkee in 1954	she born place r o o r k e e 1 9 5 4
she is worried about tshe result	she correct anxious
they searched everywhere 	search
did she finish her assignment	she homework finish did
148	1 4 8
i am not a clerk	me clerk no
will the light turn on	you turn on light
india is my country	india me country
march, april, may, june, july,	m march a blank a m a y j rain j y
does she want to have coffee	she want coffee
it was a cold and pitch dark night	dark and big cold night
you were born in october	you born october
he walks their dog every morning	he walk their dog every morning
her clothes are always smelly	she shirt waste smell
does she work	you office go
a 100 rupees she saved	she save 1 0 0 money
is he hungry 	he hungry
she was born on 28 october 1923	she born 2 8 october 1 9 2 3
september october and may	s blank s october and m a y
flowers he want	he like flower
rubaina passed away in 1998	r u b a i n a died 1 9 9 8
anything you like you may take	you pick like you
99	9 9
they are both good teachers	they both good teacher
72 people are walking	7 2 people walk
she turned 21 on this birthday	she birthday 2 1
how did you come to know her	you how know her
762	7 6 2
i love badminton	me like b a d m i n t o n
we our neighbors should love	we like our and
next year school he will change	he change school develop year
604	6 0 4
they wanted it not to be used as farmland 	they like no use farmland
sanjay doesn't know this book	s a n j a y know book no
lets go to the movies	movie look go okay
2998	2 9 9 8
khushboo passed away in 2014	k h u s h b o o died 2 0 1 4
a clerk i am	me clerk
everyone speaks well of him	people say good him
hindi is spoken in india	h i n d i say i n d i a  
in three hours she return	she future return hour 3
he studied poetry	he study poem
she has not seen him since then	she no look her time then
like it	like it
do you have time on thursday	you time thursday
in her room she was crying	she cry in her room
her house was set on fire by her	she lit own house
you were born in tanda	you born place t a n d a
70 people are walking	7 0 people walk
you live at which place	you stay where
she was assaulted 	she attack
how many years he live abroad	he how time aeroplane stay
i will give you a large folder	me you take large folder
they wanted to do it for the past 22 years	they like work past 2 2 year
did he do his homework	he homework finish did
i am pleased to help her	me her help happy
41 people are walking	4 1 people walk
you going to meet someone here	you someone meet here
you were born on 28 may 1991	you born 2 8 m a y 1 9 9 1
29	2 9
he is sorry	he sorry
his mother passed away in 1983	his mother died 1 9 8 3
she will be pleased to help her	she her help happy
south america has some indians staying there	indians stay s o u t h blank a m e r i c a
i wrote letters to him telling him to stop sending used clothes	me write letter again 1 2 3 4 write say close send smell shirt
his grandfather passed away in 2012	his grandfather died 2 0 1 2
418	4 1 8
before meals wash your hands	you hands wash
she worked hard my whole life and have never taken charity from anyone	she work difficult she life she no take anyone take
january, february, march, april,	j eid f m march a blank a
bad	bad
she suddenly shut the door	she close door shock
dressed in black is her always	she everyday wear black
she could write everything in it	she everything happened write
tomorrow he come to see you	he come you look tomorrow
our CM is Vijay Rupani	v i j a y blank r u p a n i our c m
3 people are there in my family	me family 3 people
what is your mobile number	you mobile_number what
tom likes going to the barber	t o m like go barber
she took my youth	she take my youth
she didn't have many friends	she friend big no
i love squash	me like s q u a s h
he went to office and found her diary	he go office found d i a r y
at 16 years old she died	she 1 6 died
this poem how he interpret	he how interpret this poem
excuse me but can you help me	sorry you help me
money he has	he money have
may till july	m a y j y between
he closed the door suddenly	he close door shock
it took him a while to find jahnvi	j a h n v i find time
what time is it	what watch
give me a call later please	please phone me later
i was born in march	me born m march
my kite string was cut by someone	someone cut me flying_kite
how did she come to know her	she how know her
her father died there	father died
ram saved her from the fire	r a m save her fire
there are 840 women walking around	8 4 0 man walk there
focus	focus
rayirth passed away in 2011	r a y i r t h died 2 0 1 1
they outcome of they test worries they	they correct anxious
a man had doubts and informed the army	man suspicious phone army
result they anxious	they correct anxious
she must have kept it on the bus	she must keep on drive
i have been wanting to do it for the last 24 months	me like work past 2 4 month
i have been wanting to do it for the last 23 years	me like work past 2 3 year
you are beautiful	you beauty
she was born on 10 october 1931	she born 1 0 october 1 9 3 1
how do he interpret this poem	he how interpret this poem
india is my country	india me country
will you wait for sometime please	you please time some wait will
she turned 19 on this birthday	she birthday 1 9
she always tries something new	she everyday try something new
you were born on 9 march 1944	you born 9 m march 1 9 4 4
she suddenly became famous	she be shock famous
he eats food at a cafeteria	he eat there cafeteria
he declined the invitation	he no invitation
there are 651 people walking in the street	6 5 1 people walk there
this she wrote before but it is worth to repeat	she write this past change worth write again
finding sapna took a while	s a p n a find time
he was born in anand	he born place a n a n d
in three hours he will be back	he future return hour 3
take her to the toilet	her bathroom go
chirayu died in 1992	c h i r a y u died 1 9 9 2
you were born in nanded	you born place n a n d e d
his grandmother passed away in 1976	his grandmother died 1 9 7 6
the teacher couldn't understand the mistake she had made	teacher mistake understand no
please feed the dog everyday	please feed dog everyday
shilpa just came home	s h i l p a must come home
311	3 1 1
her mother was a housewife	mother home work 
she is going america tomorrow	she tomorrow go a m e r i c a
he died after getting sick and suffering	he sick suffered died
she worry result	she correct anxious
9 people are walking	9 people walk
does he wish for something to drink	he drink something want
where the bathroom	bathroom where
did you eat lunch	you lunch finish
99	9 9
not to go alone she warned him	she say him no go alone
she come tomorrow to see you	she come you look tomorrow
surviving the world war her father came out	war world after father survived
372	3 7 2
she bought many costly things	she big money purchase
we meet today	we today meet can
you were born in amravati	you born place a m r a v a t i
please tell me where is the bathroom	please tell bathroom where
fareeha died in 2009	f a r e e h a died 2 0 0 9
i love pool	me like p o o l
doctor he will be in future	he wish doctor
sorry to know this	me know sad
wednesday	wednesday
doctor they wishes to become	they wish doctor
salman passed away in 1991	s a l m a n died 1 9 9 1
march, april, may, june,	m march a blank a m a y j rain
you were born in april	you born a blank a
i walked with him	me accompany her roam walk
3499	3 4 9 9
she has been wanting to do it for the last 14 years	she like work past 1 4 year
you know him how	you how know him
they wanted to do it for the past 17 years	they like work past 1 7 year
she learned a lot of music poetry and literature	she study more music poem literature
3 people are there in her family	her family 3 people
she made many expensive purchases	she big money purchase
she will next year change his school	she change school develop year
she went for me	she me change there go
his father went to work	go he father office
he was born on 6 april 1973	he born 6 a blank a 1 9 7 3
hospital	hospital
is he in support or not	he against for
5 people are there in my family	me family 5 people
are you still angry	you angry
office	office
he will be at work this sunday	he future duty this sunday
let us meet sometime	we time some meet can
35	3 5
you were born on 6 january 1973	you born 6 j eid 1 9 7 3
she turned 17 on this birthday	she birthday 1 7
i hope it rains tomorrow	me think tomorrow rain
advice	advice
i was attacked	me attack
you can't settle it by fighting	you fight no settle
he feels sad to hear this	he know sad
today he is behaving weird	he behaviour work odd today
how long have you been abroad	you how time aeroplane stay
do you live with your parents	you accompany stay father mother
we know not where we are	we know no where we
the country neighboring us is pakistan	p a k i s t a n we and country
she was born on 10 october 1931	she born 1 0 october 1 9 3 1
she has been wanting to do it for the last 11 years	she like work past 1 1 year
tomorrow we will meet	we tomorrow meet can
it was published around the world	published world
i am pleased to help you	me you help happy
do not worry	worry no
when interview you	you when interview
i have written this before but it is worth repeating	me write this past change worth write again
where the bathroom	bathroom where
i was born in anantpur in 1956	me born place a n a n t p u r 1 9 5 6
she was born on 26 march 2006	she born 2 6 m march 2 0 0 6
my father passed away in 1964	me father died 1 9 6 4
this was done successfully at the local nursing homes where she worked	she work local nurse where work good
2395	2 3 9 5
tennis is easy to play for me	play tennis easy me
i studied a lot of music poetry and literature	me study more music poem literature
she rejects this view completely	she reject this view complete
glad to meet you	good meet you
yesterday he come to see you	he come you look past
atleast one of the things we want them to be children always become	children everyday be atleast 1 thing we like them be
103	1 0 3
your hands wash before meals	you hands wash
53 people are walking	5 3 people walk
they dug their own grave	they dig own grave
wait let me think	me thinking wait
she irritate me	she me headache
i don’t want to look at him	me no look him
there are how many people in your family	you family how_many people
i didn't want this to happen	me no like this happen
the children look up to her	student look her
soldiers are used to danger	soldiers use danger
they result worries them	they correct anxious
it's 4 o'clock by my watch	4 me watch
she finished the money	she all money spend
everyone felt sorry for her	people know sorry her
he was born on 28 december 1945	he born 2 8 d cold 1 9 4 5
it was too easy for me	too easy me
his mother passed away in 1983	his mother died 1 9 8 3
september october and may	s blank s october and m a y
what hurt her pride was what i said	me say pain her pride
she turned 27 on this birthday	she birthday 2 7
she kept getting the same punishment for her mistake	she mistake same punishment
what your dad work	you father doing
she was born in bikaner	she born place b i k a n e r
yesterday she met your father	she meet you father past
july december and november	j y d cold and n cracker
i was born on 29 august 2010	me born 2 9 a tiewrist 2 0 1 0
you will stay here how long	how time future you stay here
why do you quarrel with him unnecessarily	why you unnecessarily quarrel
i am catching the 11 o' clock train	me sit11 time train
he doesn’t not know play cricket	he know no how play cricket
from december to may	d cold m a y between
he is acting odd today	he behaviour work odd today
may, june, july, august,	m a y j rain j y a tiewrist
i am going america today	me today go a m e r i c a
my mother passed away in 1994	me mother died 1 9 9 4
she assaulted me	she take my youth
today the store is not open	store no open today
near her house there was a fire	her house near fire
are you still angry	you angry
i am going to a theater	me go theater
my grandmother passed away in 2009	me grandmother died 2 0 0 9
everyone suffered	everyone suffered
this tuesday she will be at work	she future duty this tuesday
79 people are walking	7 9 people walk
they have been wanting to do it for the past 12 months	they like work past 1 2 month
his father passed away in 1995	his father died 1 9 9 5
daddy left to the office	father go office
yesterday she came see you	she come you look past
with her friends help she wrote a poem	friend help she write poem
she was allowed by him to go alone	he allow her go alone
please hand me a pen	please pen give_me
i was born in aurangabad	me born place a u r a n g a b a d
tan	tan
anjasa passed away in 2012	a n j a s a died 2 0 1 2
tom and john were on either side of him	he sit between t o m and j o h n
she cannot do play cricket	she know no how play cricket
may	m a y 
i went for a walk with him	me accompany her roam walk
22 people are walking	2 2 people walk
what's up	how_are_you
please speak in a louder voice	please say big voice
i look good	me beauty
i motioned for her to sit down	me say her sit
he has been wanting to do it for the past 5 years	he like work past 5 year
does she want to drink coffee or tea	she want tea or coffee
she shall become a doctor	she wish doctor
i was born in valsad	me born place v a l s a d
how did he come to know her	he how know her
in my place he went	he me change there go
the horse is an useful animal	horse use animal
nothing we lack	we lack nothing
what your mama work	you mother doing
all the students look up to him	student look him
would he like to have coffee	he want coffee
what is today's date	today date what
the paint yet hasn't dried	paint no dry yet
is she meeting someone here	she someone meet here
you like to go abroad	you like go aeroplane
everyone worked	everyone work
53 people are walking	5 3 people walk
they is worried about they test outcome	they correct anxious
i was born on 5 may 2009	me born 5 m a y 2 0 0 9
scared	scared
you were born in dehradun	you born place d e h r a d u n
he was born in rajahmundry in 1974	he born place r a j a h m u n d r y 1 9 7 4
a child they just said	must child they say
that is because you are a boy	you boy
i was born in panjim	me born place p a n j i m
i was born in tirumala - tirupati	me born place t i r u m a l a - t i r u p a t i
i advise you to stop smoking	me you close smoking
september to june	s blank s j rain between
won't for dinner you join us	you join dinner
her sister died in 1986	her sister died 1 9 8 6
my grandmother died in 2003	me grandmother died 2 0 0 3
he eats dinner at a cafeteria	he eat there cafeteria
i have been wanting to do it for the last 30 years	me like work past 3 0 year
in a bun she wears her hair	she hair bun
she wanted to be single	she like 1
it is the same for everyone	this same everyone
she looks pretty	she beauty
he must have forgotten it on the bus	he must keep on drive
three times she has seen me	she look me 3
our tea he drink with sugar	he drink tea accompany sugar
she is not being a computer	she no be computer
sorry to hear this	me know sad
how do she interpret this poem	she how interpret this poem
she finished this book yesterday	she read this book past
in my place she went	she me change there go
43 people are walking	4 3 people walk
excuse me is this seat taken	sorry this sit
sorry her father is not here	she sorry she father out
she turned 48 on this birthday	she birthday 4 8
you will stay here till when	how time future you stay here
i take bath almost every day	she bath every_other_day
all felt sorry for buthayna	people know sorry b u t h a y n a
do you watch television	you tv watch
24 people are walking	2 4 people walk
you were born in kolkata	you born place k o l k a t a
did you ever visit india	you ever i n d i a
they eats dinner at a canteen	they eat there cafeteria
he on the wrong train	he train wrong
i like the color blue	me blue like
to go to Germany she got the order from the US state department	she take the order u s s t a t e d e p t go g e r m a n y
she want to have a cup of coffee	she want cup coffee
tom and john were on either side of her	she sit between t o m and j o h n
september may or july	s blank s m a y or j y
3 people are there in my family	me family 3 people
she was born in bhavnagar in 1936	she born place b h a v n a g a r 1 9 3 6
he is busy	he busy
he turned 25 on this birthday	he birthday 2 5
their dream is to be doctor	they wish doctor
she's sorry to know this	she know sad
at the top of your voice you are shouting why	why you shout top
not many know about this plan	big people no know this plan
she died there	she died
the soldiers threatened them	soldiers threaten
on the roof is a crow which is a bird	bird on home crow
he pulled on his child's ear	he pull child ear
in five hours they will return	they future return hour 5
please hand me a pen	please pen give_me
laughing all of us at her joke	we laugh her joke
she is pleased to help her	she her help happy
she are complaining always	she everyday complain
o	o
his demeanor is odd today	he behaviour work odd today
stop beating around the bush	close beat around the bush
651	6 5 1
i love judo	me like j u d o
he has soft drink	he keep drink
78 people are walking	7 8 people walk
2 people are there in my family	me family 2 people
he went to rajasthan on monday	he go r a j a s t h a n monday
i can't bear the sight of him	me no look him
his long speech was boring	he long speech bored us
462	4 6 2
where is the changing room	where change room
she went to goa on sunday	she go g o a sunday
i was born on 13 february 2005	me born 1 3 f 2 0 0 5
they eats dinner at a cafeteria	they eat there cafeteria
you mend your ways	you ways mend
this plan is known by few people	few people know this plan
it looks interesting to me	that look me like
his clothes always smell bad	he shirt waste smell
the dog all night kept barking	dog all night bark
3 people are there in his family	her family 3 people
feed the dog everyday please	please feed dog everyday
did you do your homework	you homework finish did
everyone speaks well of him	everyone say good him
yesterday why didn't he come	why he past come no
jones likes going to the barber	j o n e s like go barber
tea is grown widely in india	tea widely grow i n d i a
there is no point arguing with him	her talk no work
more girls i want to be a part of this wonderful sport	me want more girl part wonderful sport
the quarrel is resolved	quarrel settle
october january and june	october j eid and j rain
his clothes always smell bad	he shirt waste smell
the story is sensitive  	story sensitive
crying the boy did nothing	boy nothing cry
i worked on the farm all day	me work farmland day
it took me a while to find sapna	s a p n a find time
please could you help me	please you help me
nothing can be settled over a fight	fight no settle
flowing through me will be no streams	no streams flow through me
yesterday she come to see you	she come you look past
archery is my favorite game	a r c h e r y me like game
he know her how	he how know her
8 people are there in my family	me family 8 people
june, july, august, september, october, november, december,	j rain j y a tiewrist s blank s october n cracker d cold
she was 16 years old when she died	she 1 6 died
everyone felt sorry for abhimanyusuta	people know sorry a b h i m a n y u s u t a
he was born in chandrapur	he born place c h a n d r a p u r
she was 89 years old when she died	she 8 9 died
he went in exchange of me	he me change there go
blue	blue
his father gave him a diary for his birthday	father gift birthday d i a r y
1969	1 9 6 9
j	j
you were born in bhiwani	you born place b h i w a n i
flowers you want	you like flower
on thursday she went to kerala	she go k e r a l a thursday
how did you know her	you how know her
he was born in january	he born j eid
they were laughed at by everyone	everyone they laugh
97	9 7
you were born on 23 march 1989	you born 2 3 m march 1 9 8 9
can i have 10 apples	what me take 1 0 apple
a person can't live without dreams	man no breathe dream no
she was born in jaipur	she born place j a i p u r
doctor he wishes to become	he wish doctor
1006	1 0 0 6
i am not being a beautician	me no be beauty
he borrow money from you	what money you take
are you hungry	you hungry
she has to answer his letter	she answer her letter
576	5 7 6
does he want to drink coffee or tea	he want tea or coffee
this bird what do you call it	what you call this bird
his behaviour is very odd today	he behaviour work odd today
everyone felt sorry for poornanand	people know sorry p o o r n a n a n d
today he is going america	he today go a m e r i c a
ivy lived most of her life in dawson and was born in 1917	i v y born 1 9 1 7 and stay d a w s o n
at home make yourself please	please made you home
at the news we were surprised	we surprise news
112	1 1 2
i love wreslting	me like w r e s l t i n g
his safety makes me anxious	me him keep anxious
she was born in september	she born s blank s
do you want something to drink	you drink something want
there are 245 men walking around	2 4 5 woman walk there
the bird on the roof is a crow	bird on home crow
her mother passed away in 1992	her mother died 1 9 9 2
all felt sorry for qasim	people know sorry q a s i m
she warned him not to go alone	she say him no go alone
why you don't visit us	why no come visit
he was born in bangalore	he born place b a n g a l o r e
things occur often	thing occurs everyday
tomorrow he came see you	he come you look tomorrow
the outcome of the test makes her worried	she correct anxious
shirts washed he wants	he shirt like wash_clothes
i found it easy to do so	that me easy work
it was translated into many different languages	translated big different languages
i worked on farm the entire day	me work farmland day
he will give you a large folder	he you take large folder
have you ever been to africa	you ever a f r i c a
today can you go	you today go can
january, february,	j eid f
he finished the money	he all money spend
you are not well	you sick
do you have one that is cheaper	you keep that cheap
complaining always you are	you everyday complain
i took some time to find jahnvi	j a h n v i find time
what is your home phone number	what you home phone number
i was working on the farm for the entire day	me work farmland day
it looks interesting to me	that look me like
he turned 28 on this birthday	he birthday 2 8
she finished this book yesterday	she read this book past
father has a headache	father headache
i have turned it into a schedule	me change that schedule
she died somewhere between february and march	she died f m march between
you like to go abroad	you like go aeroplane
he has blue eyes and fair hair	he blue eyes good hair
a church i visited i fell in love with it	me visit church and like
i'm going to meet him tomorrow	me her meet tomorrow
a homemaker she is	she home homemaker
money how much	money what
she looks beautiful	she beauty
are you joking	you happy what
good	good
you live with parents	you accompany stay father mother
enjoyable	enjoyable
this tuesday she will be at work	she future duty this tuesday
he has written this before but it is worth repeating	he write this past change worth write again
tennis is my favourite sport	t e n n i s me like game
she was born in raipur	she born place r a i p u r
you not listen to me why	you why listen me
you are looking nice	you beauty
men and women were kept separate	men separate women separate
he eats food at canteen	he eat there cafeteria
she was born on 12 december 1456	she born 12 d cold 1456
easily done for her	that she easy work
it was a dangerous place	danger place
this plan is not known by many 	big people no know this plan
a real must be diamond this is	this must correct diamond
june	j rain
the entire day she was working on the farm	her work farmland day
she recognized them	she recognize them
she is going to america tomorrow	she tomorrow go a m e r i c a
do you watch tv	you tv watch
it took her a while to find jahnvi	j a h n v i find time
they for hours went on talking	they talk
she was born in bikaner	she born place b i k a n e r
keval died in 2015	k e v a l died 2 0 1 5
the changing room is where	where change room
i was born in naraina	me born place n a r a i n a
they will return in five hours	they future return hour 5
a day has 24 hours	day two four hours
for hours they went on talking	they talk
they read the books yesterday	they read the book past
they all suffered in pain	suffered pain
beware do not tell that again	alert second tell no
she was laughed at by everyone	everyone she laugh
329	3 2 9
don't cancel your promise	no cancel you promise
anyone speaks english	people tell english
shrejal died in 1992	s h r e j a l died 1 9 9 2
alekhya died in 2012	a l e k h y a died 2 0 1 2
can i have the key now	me now keys take
give me a call later	phone me later
she was born in december	she born d cold
why don't you come visit us	why no come visit
i was born on 10 october 1913	me born 1 0 october 1 9 1 3
